,gene_group,B,C,D,E,F,L,A,,Basal,index_all
4328,"phoA,hprK,mntC,murD,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.046934986,0.386925051,0.962462462,0.604215908
1390,"phoA,hprK,cysS,carB,plsY,group",0.119318182,0,0,0,0.18852459,0,0.081487066,0.389329838,0.965465465,0.617703289
4718,"phoA,hprK,rpoC,ctaA,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.021010456,0.389459289,0.962462462,0.59462929
4058,"phoA,hprK,carB,scrB,prfA,group",0.119318182,0.060606061,0,0,0.18852459,0,0.021010456,0.389459289,0.962462462,0.59462378
2260,"phoA,hprK,mntC,trkA,plsY,group",0.119318182,0,0,0.090909091,0.158469945,0,0.021024417,0.389721635,0.962462462,0.593576966
4652,"phoA,hprK,murD,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.052100348,0.390494535,0.957957958,0.606607053
1288,"phoA,hprK,recG,scrB,atpB_2,group",0.176136364,0.060606061,0,0,0.127868852,0,0.026231659,0.390842936,0.957957958,0.59622706
1528,"phoA,hprK,trkA,scrB,atpB_2,group",0.176136364,0.060606061,0,0,0.127868852,0,0.026231659,0.390842936,0.962462462,0.596243588
2598,"phoA,clpB,rpoC,carB,atpB_2,group",0,0.176136364,0,0,0.18852459,0,0.026203739,0.390864692,0.956456456,0.596656805
4012,"phoA,hprK,carB,metK,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.051514009,0.391504074,0.947447447,0.605973455
4508,"phoA,hprK,pitA,ctaA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.021010456,0.391601614,0.956456456,0.594243621
2176,"phoA,hprK,mntC,murD,plsY,group",0.060606061,0,0,0.090909091,0.18852459,0,0.052086387,0.392126129,0.960960961,0.605973455
1408,"phoA,hprK,rnc,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.187978142,0,0.026231659,0.394134044,0.957957958,0.596667824
1648,"phoA,hprK,typA,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.187978142,0,0.026231659,0.394134044,0.957957958,0.596667824
28,"phoA,hprK,pbpA,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026161857,0.39461069,0.944444444,0.5965962
222,"phoA,hprK,rpoC,carB,gatA,group",0.060606061,0.119318182,0,0,0.18852459,0,0.026161857,0.39461069,0.965465465,0.59597362
2276,"phoA,hprK,rpoC,gatA,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.026161857,0.39461069,0.962462462,0.596667824
748,"phoA,hprK,purL,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026217699,0.394666532,0.938438438,0.5965962
4276,"phoA,hprK,mntB,carB,scrB,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026231659,0.394680492,0.968468468,0.596028716
